GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201506250098,2015-06-25,"Ukraine","Shchastya","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506230090,2015-06-23,"Ukraine","Pervomaisk","Donetsk People's Republic",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506230089,2015-06-23,"Ukraine","Yasnogorodivka","Donetsk People's Republic",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506220080,2015-06-22,"Ukraine","Kiev","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506220079,2015-06-22,"Ukraine","Kiev","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506210050,2015-06-21,"Bulgaria","Sofia","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506180084,2015-06-18,"Ukraine","Marinka","Donetsk People's Republic",0,,,,,0,1,Military,Private Citizens & Property,,Eastern Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,Firearms,
201506120052,2015-06-12,"Ukraine","Avdiivka","Donetsk People's Republic",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506100062,2015-06-10,"Ukraine","Horlivka","Donetsk People's Republic",0,,,,,3,3,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506070026,2015-06-07,"Ukraine","Mariupol","Donetsk People's Republic",0,,,,,1,5,Military,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506060063,2015-06-06,"Ukraine","Popasna","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506050043,2015-06-05,"Ukraine","Vovcheyarivka","Unknown",0,,,,,0,1,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506040043,2015-06-04,"Ukraine","Dachne","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506030052,2015-06-03,"Ukraine","Heorhiivka","Donetsk People's Republic",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506030013,2015-06-03,"Ukraine","Kapitanove","Luhansk People's Republic",0,,,,,2,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506020001,2015-06-02,"Ukraine","Lebedynske","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506010047,2015-06-01,"Ukraine","Shyrokyne","Donetsk People's Republic",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
201505290048,2015-05-29,"Ukraine","Hranitne","Donetsk People's Republic",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505290037,2015-05-29,"Ukraine","Opytne","Unknown",0,,,,,1,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505280072,2015-05-28,"Ukraine","Kiev","Unknown",0,,,,,1,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505280066,2015-05-28,"Ukraine","Kiev","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505260062,2015-05-26,"Ukraine","Horlivka","Donetsk People's Republic",0,,,,,4,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505260057,2015-05-27,"Ukraine","Popasna","Unknown",0,,,,,1,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505260056,2015-05-26,"Ukraine","Horlivka","Donetsk People's Republic",0,,,,,4,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505260037,2015-05-26,"Ukraine","Avdiivka","Unknown",0,,,,,1,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201505230076,2015-05-23,"Ukraine","Avdiivka","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
